Ave;Otros nombres;Especie;Familia;Orden;Color;Tamaño;Patas;Alas;Picos;Alimentación;Nidificación;Se encuentra en:;Hábitat;Migración;Cronotipo;Foto
Perdiz Copetona;Martineta común;Eudromia elegans;Tinamidae;TINAMIFORMES;"blanco;gris;negro";mediano ;lagopedo;terrestre poco voladora;insectivoro;omnivoro;escarbado;15;campo;No;diurno;https://www.avesdechile.cl/0jpgn/127.jpg
Perdiz de la Puna;Keu, Pisaca, Kiula, Quiula o Keú Andino;Tinamotis pentlandii;Tinamidae;TINAMIFORMES;"blanco;gris;negro";mediano ;lagopedo;terrestre poco voladora;insectivoro;omnivoro;escarbado;4;matorral;No;diurno;https://www.avesdechile.cl/0jpgn/142ha1.jpg
Perdiz Austral;Perdiz patagónica, Inambú patagónico, Keu patagónico;Tinamotis ingoufi;Tinamidae;TINAMIFORMES;"blanco;negro;ocre";mediano;lagopedo;terrestre poco voladora;insectivoro;omnivoro;escarbado;15:16;campo;No;diurno;https://www.avesdechile.cl/0jpgn/387jpr1.jpg
Codorniz;Corniza, Codorníz de California;Calliplepa Californica;Odontophoridae;GALLIFORMES;"gris;negro;pardo";mediano - pequeño;espoloneadas;elipticas;granivoro;granivoro;escarbado;4:12;parque;No;diurno;https://www.avesdechile.cl/0jpgn/016jc2.jpg
Faisan;NULL ;Phasianus colchicus;Phasianidae;GALLIFORMES;"negro;pardo;rojo";mediano;espoloneadas;elevadoras;granivoro;omnivoro;escarbado;15;bosque;No;diurno;https://www.avesdechile.cl/0jpgn/111jc1.jpg
Picurio;Macá de pico grueso, Zambullidor de pico grueso;Podilymbus podiceps;Podicipedidae;PODICIPEDIFORMES;"blanco;negro";mediano - pequeño;lobulada;de alta velocidad;generalista;omnivoro;cuenco;4:15;formacion de agua dulce;No;diurno -nocturno;https://www.avesdechile.cl/0jpgn/155.jpg
Pimpollo;Pollollo, Chulyumpi, Macá común, Zambullidor pimpollo;Rollandia Rolland;Podicipedidae;PODICIPEDIFORMES;"blanco;negro";mediano - pequeño;lobulada;de alta velocidad;pescador;carnivoro;cuenco;1:16;formacion de agua dulce;No;diurno;https://www.avesdechile.cl/0jpgn/006ea1.jpg
Huala ;Macá grande, Zambullidor grande;Podiceps major;Podicipedidae;PODICIPEDIFORMES;"gris;pardo;rojo";mediano;lobulada;de alta velocidad;pescador;carnivoro;cuenco;4:16;formacion de agua dulce;No;diurno;https://www.avesdechile.cl/0jpgn/203ea1.jpg
Blanquillo ;Chulyumpi, Macá plateado, zambullidor blanquillo, yacuchullo;Podiceps occipitalis;Podicipedidae;PODICIPEDIFORMES;"blanco;gris";mediano - pequeño;lobulada;de alta velocidad;pescador;carnivoro;colgante;4:16;formacion de agua dulce;No;diurno;https://www.avesdechile.cl/0jpgn/256.jpg
Pingüino Rey;NULL ;Aptenodytes patagonicus;Spheniscidae;SPHENISCIFORMES;"anaranjado;blanco;negro";grande;palmeadas;acuatica no voladora;pescador grueso;carnivoro;escarbado;16;pelagico ;Si;diurno;https://www.avesdechile.cl/0jpgn/104csq14.jpg
Pingüino Emperador;NULL ;Aptenodytes forsteri;Spheniscidae;SPHENISCIFORMES;"amarillo;blanco;negro";grande;palmeadas;acuatica no voladora;pescador grueso;carnivoro;escarbado;16;pelagico ;Si;diurno;https://www.avesdechile.cl/0jpgn/100.jpg
Pingüino Papúa;Pingüino de vincha;Pygoscelis papua;Spheniscidae;SPHENISCIFORMES;"blanco;negro";mediano - grande;palmeadas;acuatica no voladora;pescador grueso;carnivoro;escarbado;16;pelagico ;Si;diurno;https://www.avesdechile.cl/0jpgn/106pc3.jpg
Pingüino de Adelia;Pingüino de ojo blanco;Pygoscelis adeliae;Spheniscidae;SPHENISCIFORMES;"blanco;negro";mediano - grande;palmeadas;acuatica no voladora;pescador grueso;carnivoro;escarbado;16;pelagico ;Si;diurno;https://www.avesdechile.cl/0jpgn/105.jpg
Pingüino Antártico;NULL ;Pygoscelis antarctica;Spheniscidae;SPHENISCIFORMES;"blanco;negro";mediano - grande;palmeadas;acuatica no voladora;pescador grueso;carnivoro;escarbado;16;pelagico ;Si;diurno;https://upload.wikimedia.org/wikipedia/commons/6/69/Manchot_01.jpg
Pingüino de Humboldt;Pájaro niño, Pato burro;Spheniscus humboldti;Spheniscidae;SPHENISCIFORMES;"blanco;negro";mediano - grande;semipalmeadas;acuatica no voladora;pescador grueso;carnivoro;madriguera;1:6, 14;costa;Si;diurno;https://www.avesdechile.cl/0jpgn/025ea1.jpg
Albatros de las Galápagos;NULL ;Phoebastria irrorata;Diomedeidae;PROCELLANIIFORMES;"blanco;pardo";mediano - grande;semipalmeadas;de planeo;pescador ganchudo;carnivoro;escarbado;5;mar abierto;Si;diurno;https://www.avesdechile.cl/0jpgn/484dr1.jpg
Albatros Errante;Albatros , Pájaro carnero;Diomedea exulans;Diomedeidae;PROCELLANIIFORMES;"blanco;negro";muy grande;semipalmeadas;de planeo;pescador ganchudo;carnivoro;escarbado;1:16;mar abierto;Si;diurno;https://www.avesdechile.cl/0jpgn/118pc1.jpg
Albatros Oscuro;Albatros oscuro grande;Phoebetria fusca;Diomedeidae;PROCELLANIIFORMES;"cafe;gris";mediano - grande;semipalmeadas;de planeo;pescador ganchudo;carnivoro;escarbado;16;mar abierto;Si;diurno;https://www.avesdechile.cl/0jpgn/460.jpg
Albatros de Ceja Negra;Gaviotón ;Thalassarche melanophrys;Diomedeidae;PROCELLANIIFORMES;"blanco;negro";mediano - grande ;semipalmeadas;de planeo;pescador ganchudo;carnivoro;escarbado;1:16;pelagico ;Si;diurno;https://www.avesdechile.cl/0jpgn/117jt1.jpg
Petrel Gigante Antártico ;Petrel gigante del sur, Quebrantahuesos, Pájaro carnero negro;Macronectes giganteus;Procelariidae;PROCELLANIIFORMES;"gris;pardo";mediano - grande;semipalmeadas;de planeo;pescador ganchudo;carnivoro;escarbado;1:16;mar abierto;Si;diurno;https://www.avesdechile.cl/0jpgn/210.jpg
Petrel Plateado;Vicente;Fulmarus glacialoides;Procelariidae;PROCELLANIIFORMES;"blanco;negro";muy grande;semipalmeadas;de planeo;pescador ganchudo;carnivoro;escarbado;6;pelagico;Si;diurno;https://www.avesdechile.cl/0jpgn/211cm1.jpg
Petrel de las nieves;Petrel blanco;Pagodroma nivea;Procelariidae;PROCELLANIIFORMES;blanco ;mediano - pequeño;semipalmeadas;de planeo;pescador ganchudo;carnivoro;escarbado;16;desierto polar;Si;diurno;https://www.avesdechile.cl/0jpgn/156pc1.jpg
Fardela de Kerguelen ;NULL ;Aphrodroma brevirostris;Procelariidae;PROCELLANIIFORMES;gris;mediano - pequeño;semipalmeadas;de planeo;pescador ganchudo;carnivoro;madriguera;13, 16;pelagico;Si;nocturno;https://www.avesdechile.cl/0jpgn/446.jpg
