Ave;Otros nombres;Especie;Familia;Orden;Color;Tamaño;Patas;Alas;Picos;Alimentación;Nidificación;Se encuentra en;Hábitat;Migración;Cronotipo;Foto
Petrel Gigante Antártico ;Petrel gigante del sur, Quebrantahuesos, Pájaro carnero negro;Macronectes giganteus;Procelariidae;PROCELLANIIFORMES;gris - pardo;mediano - grande;semipalmeadas;de planeo;pescador ganchudo;carnívoro;escarbado;1:16;mar abierto;Sí;diurno;https://www.avesdechile.cl/0jpgn/210.jpg
Petrel Plateado;Vicente;Fulmarus glacialoides;Procelariidae;PROCELLANIIFORMES;blanco - negro - gris;muy grande;semipalmeadas;de planeo;pescador ganchudo;carnívoro;escarbado;6;pelágico;Sí;diurno;https://www.avesdechile.cl/0jpgn/211cm1.jpg
Petrel de las nieves;Petrel blanco;Pagodroma nivea;Procelariidae;PROCELLANIIFORMES;blanco ;mediano - pequeño;semipalmeadas;de planeo;pescador ganchudo;carnívoro;escarbado;16;desierto polar;Sí;diurno;https://www.avesdechile.cl/0jpgn/156pc1.jpg
Fardela de Kerguelen ;NULL ;Aphrodroma brevirostris;Procelariidae;PROCELLANIIFORMES;gris;mediano - pequeño;semipalmeadas;de planeo;pescador ganchudo;carnívoro;madriguera;13, 16;pelágico;Sí;nocturno;https://www.avesdechile.cl/0jpgn/446.jpg
Fardela de alas grandes;NULL ;Pterodroma macroptera;Procelariidae;PROCELLANIIFORMES;blanco - gris;mediano - pequeño;semipalmeadas;de planeo;pescador ganchudo;carnívoro;cavidad;16;pelágico;Sí;diurno;https://www.avesdechile.cl/0jpgn/194ro1.jpg
Fardela de frente blanca;Petrel de cabeza blanca;Pterodroma lessoni;Procelariidae;PROCELLANIIFORMES;blanco - gris;mediano ;semipalmeadas;de planeo;pescador ganchudo;carnívoro;madriguera;6, 16;pelágico;Sí;nocturno;https://www.avesdechile.cl/0jpgn/195.jpg
Fardela blanca ;Fardela de patas rosadas, Fardela de la noche, Fardela blanca chilena;Puffinus creatopus;Procelariidae;PROCELLANIIFORMES;blanco - pardo ;mediano ;semipalmeadas;de planeo;pescador ganchudo;carnívoro;madriguera;6;pelágico;Sí;diurno;https://www.avesdechile.cl/0jpgn/432a.jpg
Golondrina de mar de vientre blanco;NULL ;Fregetta grallaria;Hydrobatidae;PROCELLANIIFORMES;blanco - negro - gris;mediano - pequeño;semipalmeadas;de planeo;pescador ganchudo;carnívoro;madriguera;6;pelágico;No;diurno;https://www.avesdechile.cl/0jpgn/435mg1.jpg
Yunco;Yunque, Petrel buceador, Potoyunco peruano;Pelecanoides garnotii;Pelecanoididae;PROCELLANIIFORMES;blanco - negro;mediano - pequeño;palmeadas;de planeo;pescador ganchudo;carnívoro;madriguera;1:13;pelágico;No;diurno - nocturno;https://www.avesdechile.cl/0jpgn/351jctm1.jpg
Ave del trópico de pico rojo;Faetón de pico rojo;Phaeton aethereus;Phaethonidae ;PELECANIFORMES ;blanco - negro;mediano;palmeadas;de planeo;pescador ;carnívoro;cavidad;4:6;pelágico;Sí;diurno - nocturno;https://www.avesdechile.cl/0jpgn/198ds1.jpg
Pelícano ;Alcatraz, Huajache, Katalafken kage;Pelecanus thagus;Pelecanidae ;PELECANIFORMES ;blanco - negro ;muy grande;totipalmeadas;de planeo;pico - bolsa;carnívoro;escarbado ;1:13;costa;No;diurno ;https://www.avesdechile.cl/0jpgn/087.jpg
Gallina ciega peruana;Chotacabras trinador;Chordeiles acutipennis;Caprimulgidae;CAPRIMULGIFORMES;blanco - pardo;mediano - pequeño;anisodáctilas;elevadoras;insectívoro;carnívoro;escarbado;1;desierto ;No;diurno - crepuscular ;https://www.avesdechile.cl/0jpgn/095ek.jpg
Gallina ciega ;Plastilla, Atajacaminos común, Chotacabras barba larga;Caprimulgus longirostris;Caprimulgidae;CAPRIMULGIFORMES;gris - pardo;mediano - pequeño;anisodáctilas;elevadoras;insectívoro;carnívoro;escarbado;1: 16;desierto;No;crepuscular - nocturno;https://www.avesdechile.cl/0jpgn/150jc5.jpg
Vencejo de Chimenea;NULL ;Chaetura pelagica ;Apodidae;APODIFORMES;gris - pardo;mediano - pequeño;pamprodáctilas;de alta velocidad;insectívoro;carnívoro;cuenco;1:4;formación de agua dulce;Sí;diurno;https://www.avesdechile.cl/0jpgn/372.jpg
Vencejo Chico;Vencejo blanco, Vencejo andino ;Aeronautes  andecolus;Apodidae;APODIFORMES;blanco - pardo;mediano - pequeño;pamprodáctilas;de alta velocidad;insectívoro;carnívoro;cavidad;1:2;cordillera;No;diurno;https://www.avesdechile.cl/0jpgn/371ap1.jpg
